in:87 out:87 type:2 q:3658 itex:0 ptex:93 mv:1118 misc:5542 fcode:1 bcode:1 mc-var:348599 var:1508966 icount:0 skipcount:4561 hbits:55;
in:88 out:88 type:2 q:3658 itex:0 ptex:5 mv:356 misc:5040 fcode:1 bcode:1 mc-var:346475 var:1508966 icount:0 skipcount:4721 hbits:55;
in:89 out:89 type:2 q:3658 itex:0 ptex:0 mv:164 misc:4917 fcode:1 bcode:1 mc-var:346096 var:1508966 icount:0 skipcount:4763 hbits:55;
in:90 out:90 type:2 q:3658 itex:0 ptex:0 mv:100 misc:4869 fcode:1 bcode:1 mc-var:345858 var:1508966 icount:0 skipcount:4779 hbits:55;
in:91 out:91 type:2 q:3658 itex:0 ptex:5 mv:42 misc:4834 fcode:1 bcode:1 mc-var:345772 var:1508966 icount:0 skipcount:4790 hbits:55;
in:92 out:92 type:2 q:3658 itex:0 ptex:7 mv:10 misc:4816 fcode:1 bcode:1 mc-var:345694 var:1508966 icount:0 skipcount:4798 hbits:55;
in:93 out:93 type:2 q:3658 itex:0 ptex:0 mv:4 misc:4805 fcode:1 bcode:1 mc-var:345662 var:1508966 icount:0 skipcount:4799 hbits:55;
in:94 out:94 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:345657 var:1508966 icount:0 skipcount:4800 hbits:55;
in:95 out:95 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:345657 var:1508966 icount:0 skipcount:4800 hbits:55;
in:96 out:96 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:345657 var:1508966 icount:0 skipcount:4800 hbits:55;
in:97 out:97 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:345657 var:1508966 icount:0 skipcount:4800 hbits:55;
in:98 out:98 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:345657 var:1508966 icount:0 skipcount:4800 hbits:55;
in:99 out:99 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:345657 var:1508966 icount:0 skipcount:4800 hbits:55;
in:100 out:100 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4808 fcode:1 bcode:1 mc-var:345657 var:1508966 icount:0 skipcount:4800 hbits:56;
in:101 out:101 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:345657 var:1508966 icount:0 skipcount:4800 hbits:55;
in:102 out:102 type:1 q:2926 itex:154208 ptex:0 mv:0 misc:28997 fcode:1 bcode:1 mc-var:11215377 var:1381466 icount:4800 skipcount:0 hbits:107;
in:103 out:103 type:2 q:3658 itex:0 ptex:26 mv:2914 misc:6677 fcode:1 bcode:1 mc-var:196304 var:1381466 icount:0 skipcount:4177 hbits:55;
in:104 out:104 type:2 q:3658 itex:0 ptex:14 mv:749 misc:5302 fcode:1 bcode:1 mc-var:190300 var:1381466 icount:0 skipcount:4635 hbits:55;
in:105 out:105 type:2 q:3658 itex:0 ptex:0 mv:269 misc:4980 fcode:1 bcode:1 mc-var:189022 var:1381466 icount:0 skipcount:4742 hbits:55;
in:106 out:106 type:2 q:3658 itex:0 ptex:0 mv:87 misc:4858 fcode:1 bcode:1 mc-var:188690 var:1381466 icount:0 skipcount:4782 hbits:55;
in:107 out:107 type:2 q:3658 itex:0 ptex:0 mv:18 misc:4815 fcode:1 bcode:1 mc-var:188597 var:1381466 icount:0 skipcount:4796 hbits:55;
in:108 out:108 type:2 q:3658 itex:0 ptex:0 mv:8 misc:4809 fcode:1 bcode:1 mc-var:188590 var:1381466 icount:0 skipcount:4798 hbits:55;
in:109 out:109 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:188579 var:1381466 icount:0 skipcount:4800 hbits:55;
in:110 out:110 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:188579 var:1381466 icount:0 skipcount:4800 hbits:55;
in:111 out:111 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:188579 var:1381466 icount:0 skipcount:4800 hbits:55;
in:112 out:112 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:188579 var:1381466 icount:0 skipcount:4800 hbits:55;
in:113 out:113 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:188579 var:1381466 icount:0 skipcount:4800 hbits:55;
in:114 out:114 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:188579 var:1381466 icount:0 skipcount:4800 hbits:55;
in:115 out:115 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:188579 var:1381466 icount:0 skipcount:4800 hbits:55;
in:116 out:116 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:188579 var:1381466 icount:0 skipcount:4800 hbits:55;
in:117 out:117 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:188579 var:1381466 icount:0 skipcount:4800 hbits:55;
in:118 out:118 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:188579 var:1381466 icount:0 skipcount:4800 hbits:55;
in:119 out:119 type:1 q:2926 itex:221350 ptex:0 mv:0 misc:28831 fcode:1 bcode:1 mc-var:13008104 var:2134871 icount:4800 skipcount:0 hbits:107;
in:120 out:120 type:2 q:3658 itex:0 ptex:25 mv:5224 misc:8136 fcode:1 bcode:1 mc-var:348819 var:2134871 icount:0 skipcount:3691 hbits:55;
in:121 out:121 type:2 q:3658 itex:0 ptex:11 mv:1384 misc:5710 fcode:1 bcode:1 mc-var:339049 var:2134871 icount:0 skipcount:4498 hbits:55;
in:122 out:122 type:2 q:3658 itex:0 ptex:0 mv:501 misc:5132 fcode:1 bcode:1 mc-var:336459 var:2134871 icount:0 skipcount:4690 hbits:55;
in:123 out:123 type:2 q:3658 itex:0 ptex:0 mv:149 misc:4900 fcode:1 bcode:1 mc-var:335938 var:2134871 icount:0 skipcount:4767 hbits:55;
in:124 out:124 type:2 q:3658 itex:0 ptex:0 mv:42 misc:4831 fcode:1 bcode:1 mc-var:335747 var:2134871 icount:0 skipcount:4792 hbits:55;
in:125 out:125 type:2 q:3658 itex:0 ptex:0 mv:8 misc:4808 fcode:1 bcode:1 mc-var:335703 var:2134871 icount:0 skipcount:4798 hbits:56;
in:126 out:126 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:335705 var:2134871 icount:0 skipcount:4800 hbits:55;
in:127 out:127 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:335705 var:2134871 icount:0 skipcount:4800 hbits:55;
in:128 out:128 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:335705 var:2134871 icount:0 skipcount:4800 hbits:55;
in:129 out:129 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:335705 var:2134871 icount:0 skipcount:4800 hbits:55;
in:130 out:130 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:335705 var:2134871 icount:0 skipcount:4800 hbits:55;
in:131 out:131 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:335705 var:2134871 icount:0 skipcount:4800 hbits:55;
in:132 out:132 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:335705 var:2134871 icount:0 skipcount:4800 hbits:55;
in:133 out:133 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:335705 var:2134871 icount:0 skipcount:4800 hbits:55;
in:134 out:134 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:335705 var:2134871 icount:0 skipcount:4800 hbits:55;
in:135 out:135 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:335705 var:2134871 icount:0 skipcount:4800 hbits:55;
in:136 out:136 type:2 q:3658 itex:37764 ptex:24897 mv:6091 misc:30769 fcode:1 bcode:1 mc-var:7161727 var:1395749 icount:1898 skipcount:1401 hbits:55;
in:137 out:137 type:2 q:3658 itex:0 ptex:401 mv:2776 misc:6688 fcode:1 bcode:1 mc-var:323197 var:1395749 icount:0 skipcount:4205 hbits:55;
in:138 out:138 type:2 q:3658 itex:0 ptex:103 mv:1126 misc:5580 fcode:1 bcode:1 mc-var:313757 var:1395749 icount:0 skipcount:4551 hbits:55;
in:139 out:139 type:2 q:3658 itex:0 ptex:55 mv:533 misc:5173 fcode:1 bcode:1 mc-var:311009 var:1395749 icount:0 skipcount:4682 hbits:55;
in:140 out:140 type:2 q:3658 itex:0 ptex:0 mv:140 misc:4901 fcode:1 bcode:1 mc-var:310106 var:1395749 icount:0 skipcount:4769 hbits:55;
in:141 out:141 type:2 q:3658 itex:0 ptex:5 mv:48 misc:4836 fcode:1 bcode:1 mc-var:309970 var:1395749 icount:0 skipcount:4789 hbits:55;
in:142 out:142 type:2 q:3658 itex:0 ptex:0 mv:26 misc:4823 fcode:1 bcode:1 mc-var:309934 var:1395749 icount:0 skipcount:4794 hbits:55;
in:143 out:143 type:2 q:3658 itex:0 ptex:0 mv:16 misc:4817 fcode:1 bcode:1 mc-var:309905 var:1395749 icount:0 skipcount:4796 hbits:55;
in:144 out:144 type:2 q:3658 itex:0 ptex:0 mv:10 misc:4807 fcode:1 bcode:1 mc-var:309878 var:1395749 icount:0 skipcount:4798 hbits:55;
in:145 out:145 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:309866 var:1395749 icount:0 skipcount:4800 hbits:55;
in:146 out:146 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:309866 var:1395749 icount:0 skipcount:4800 hbits:55;
in:147 out:147 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:309866 var:1395749 icount:0 skipcount:4800 hbits:55;
in:148 out:148 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:309866 var:1395749 icount:0 skipcount:4800 hbits:55;
in:149 out:149 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:309866 var:1395749 icount:0 skipcount:4800 hbits:55;
in:150 out:150 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4808 fcode:1 bcode:1 mc-var:309866 var:1395749 icount:0 skipcount:4800 hbits:56;
in:151 out:151 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:309866 var:1395749 icount:0 skipcount:4800 hbits:55;
in:152 out:152 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:309866 var:1395749 icount:0 skipcount:4800 hbits:55;
in:153 out:153 type:1 q:2926 itex:145514 ptex:0 mv:0 misc:28955 fcode:1 bcode:1 mc-var:14230135 var:1807681 icount:4800 skipcount:0 hbits:107;
in:154 out:154 type:2 q:3658 itex:0 ptex:37 mv:2896 misc:6628 fcode:1 bcode:1 mc-var:166622 var:1807681 icount:0 skipcount:4196 hbits:55;
in:155 out:155 type:2 q:3658 itex:0 ptex:12 mv:932 misc:5393 fcode:1 bcode:1 mc-var:160772 var:1807681 icount:0 skipcount:4606 hbits:55;
in:156 out:156 type:2 q:3658 itex:0 ptex:12 mv:368 misc:5045 fcode:1 bcode:1 mc-var:158898 var:1807681 icount:0 skipcount:4721 hbits:55;
in:157 out:157 type:2 q:3658 itex:0 ptex:0 mv:110 misc:4875 fcode:1 bcode:1 mc-var:158511 var:1807681 icount:0 skipcount:4777 hbits:55;
in:158 out:158 type:2 q:3658 itex:0 ptex:0 mv:28 misc:4829 fcode:1 bcode:1 mc-var:158442 var:1807681 icount:0 skipcount:4793 hbits:55;
in:159 out:159 type:2 q:3658 itex:0 ptex:0 mv:14 misc:4811 fcode:1 bcode:1 mc-var:158420 var:1807681 icount:0 skipcount:4797 hbits:55;
in:160 out:160 type:2 q:3658 itex:0 ptex:0 mv:4 misc:4805 fcode:1 bcode:1 mc-var:158401 var:1807681 icount:0 skipcount:4799 hbits:55;
in:161 out:161 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:158397 var:1807681 icount:0 skipcount:4800 hbits:55;
in:162 out:162 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:158397 var:1807681 icount:0 skipcount:4800 hbits:55;
in:163 out:163 type:2 q:3658 itex:0 ptex:0 mv:0 misc:4801 fcode:1 bcode:1 mc-var:158397 var:1807681 icount:0 skipcount:4800 hbits:55;
